,StockCode,CustomerID,purchased
248155,3141,1,1
215779,2307,1,1
50745,823,1,1
259024,3352,1,1
106243,1358,1,1
229318,2633,1,1
146058,1671,1,1
225078,2597,1,1
219443,2362,1,1
141854,1627,1,1
248666,3145,1,1
134879,1578,1,1
96829,1286,1,1
247743,3140,1,1
180334,2007,1,1
105909,1356,1,1
180492,2008,1,1
194296,2097,1,1
217060,2318,1,1
216855,2316,1,1
97552,1292,1,1
97499,1291,1,1
121118,1478,1,1
113174,1420,1,1
110552,1410,1,1
135370,1580,1,1
131289,1552,1,1
20950,382,1,1
3867,130,1,1
144660,1655,1,1
180735,2009,1,1
200968,2138,1,1
60406,913,1,1
92239,1248,1,1
136044,1582,1,1
170765,1915,1,1
241510,2936,1,1
254855,3247,1,1
141909,1628,1,1
141772,1626,1,1
212196,2233,1,1
80477,1091,1,1
99673,1301,1,1
240515,2900,1,1
157807,1791,1,1
181280,2012,1,1
45504,756,1,1
226294,2607,1,1
130919,1551,1,1
135049,1579,1,1
246351,3124,1,1
92102,1247,1,1
257387,3303,1,1
131595,1553,1,1
172007,1923,1,1
81858,1105,1,1
178895,1997,1,1
240598,2902,1,1
141527,1624,1,1
73217,1035,1,1
240564,2901,1,1
6483,167,1,1
248867,3146,1,1
92493,1251,1,1
135754,1581,1,1
214572,2291,1,1
16370,320,1,1
177425,1981,1,1
1411,25,1,1
241534,2937,1,1
165398,1837,1,1
80331,1090,1,1
177575,1982,1,1
179921,2005,1,1
16144,316,1,1
249067,3147,1,1
39838,648,1,1
180921,2010,1,1
230125,2658,1,1
41936,682,1,1
92426,1250,1,1
170766,1915,2,1
61720,920,2,1
45398,754,2,1
247521,3137,2,1
171179,1917,2,1
158610,1798,2,1
170963,1916,2,1
59758,908,2,1
45372,753,2,1
60992,915,2,1
61181,916,2,1
25707,426,2,1
158373,1797,2,1
25021,424,2,1
248156,3141,2,1
247744,3140,2,1
61502,918,2,1
88349,1207,3,1
215313,2303,3,1
39549,644,3,1
