,factor,regulation_term,learning_rate,recall_10
0,10,0.01,0.001,0.0028158996422393066
1,10,0.02,0.001,0.0027228156618936817
2,10,0.01,0.007,0.00302434526259574
3,10,0.02,0.007,0.0024397430205545137
4,10,0.01,0.01,0.0028601158440778288
5,10,0.02,0.01,0.002349815967424364
6,100,0.01,0.001,0.0032783145317850405
7,100,0.02,0.001,0.002807545554463402
8,100,0.01,0.007,0.0027855866776388574
9,100,0.02,0.007,0.002989214341941537
10,100,0.01,0.01,0.0025662649860623077
11,100,0.02,0.01,0.002331084085043991
12,1000,0.01,0.001,0.00306062897367376
13,1000,0.02,0.001,0.002735119667401047
14,1000,0.01,0.007,0.0023959079063993333
15,1000,0.02,0.007,0.002791422838101298
16,1000,0.01,0.01,0.0024806064395272716
17,1000,0.02,0.01,0.0024978563636800797
